Temps (s),Echelon (V),DeltaV (V),Tension_0 (V),Temp_0 (°C),Tension_1 (V),Temp_1 (°C),Tension_2 (V),Temp_2 (°C),Courant (V)
1.6956250667572021,0.161,-0.02,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
2.3011679649353027,0.122,0.01,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
2.9079430103302,0.137,0.005,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
3.514617919921875,0.122,0.005,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
5.374459981918335,0.655,0.831,2.41,26.988,2.4,27.153,2.405,27.233,3.485
5.980943918228149,0.684,0.836,2.424,26.717,2.405,27.062,2.41,27.142,3.504
6.587950944900513,0.694,0.855,2.434,26.537,2.424,26.701,2.405,27.233,3.514
7.194725036621094,0.704,0.86,2.444,26.357,2.419,26.791,2.395,27.414,3.519
7.801220893859863,0.714,0.855,2.454,26.177,2.424,26.701,2.38,27.686,3.529
8.407978057861328,0.714,0.875,2.449,26.267,2.439,26.431,2.37,27.867,3.514
9.01468801498413,0.728,0.87,2.458,26.087,2.434,26.521,2.346,28.323,3.514
9.621348857879639,0.714,0.88,2.463,25.998,2.444,26.341,2.322,28.78,3.519
10.228097915649414,0.718,0.899,2.463,25.998,2.434,26.521,2.317,28.871,3.514
10.834748029708862,0.733,0.865,2.458,26.087,2.449,26.251,2.302,29.147,3.519
11.441356897354126,0.733,0.88,2.458,26.087,2.444,26.341,2.278,29.607,3.524
12.048097848892212,0.738,0.87,2.468,25.908,2.449,26.251,2.278,29.607,3.509
12.654743909835815,0.723,0.899,2.458,26.087,2.444,26.341,2.263,29.885,3.519
13.261297941207886,0.738,0.88,2.473,25.818,2.439,26.431,2.253,30.07,3.519
13.868064165115356,0.743,0.885,2.478,25.729,2.439,26.431,2.234,30.441,3.524
14.474764823913574,0.733,0.894,2.473,25.818,2.439,26.431,2.219,30.721,3.519
15.081438064575195,0.733,0.899,2.473,25.818,2.439,26.431,2.209,30.908,3.514
15.688191175460815,0.733,0.89,2.473,25.818,2.434,26.521,2.195,31.189,3.519
16.29486083984375,0.728,0.904,2.473,25.818,2.434,26.521,2.185,31.377,3.514
16.90152883529663,0.728,0.899,2.473,25.818,2.424,26.701,2.17,31.659,3.504
17.508230924606323,0.728,0.909,2.473,25.818,2.424,26.701,2.16,31.848,3.509
18.114887952804565,0.728,0.904,2.473,25.818,2.419,26.791,2.151,32.037,3.514
18.721554040908813,0.728,0.904,2.473,25.818,2.414,26.882,2.136,32.322,3.504
19.32825207710266,0.723,0.909,2.473,25.818,2.41,26.972,2.126,32.512,3.5
19.93492102622986,0.723,0.909,2.473,25.818,2.405,27.062,2.116,32.703,3.5
20.54178285598755,0.723,0.909,2.468,25.908,2.4,27.153,2.107,32.894,3.5
21.148255109786987,0.723,0.909,2.468,25.908,2.4,27.153,2.097,33.085,3.495
21.75491213798523,0.718,0.919,2.468,25.908,2.395,27.243,2.087,33.277,3.5
22.361666917800903,0.714,0.924,2.468,25.908,2.39,27.334,2.077,33.47,3.495
22.96847701072693,0.714,0.919,2.468,25.908,2.385,27.424,2.067,33.663,3.5
23.575168132781982,0.714,0.924,2.463,25.998,2.38,27.515,2.058,33.856,3.495
24.181558847427368,0.714,0.924,2.463,25.998,2.375,27.605,2.053,33.953,3.47
24.788403034210205,0.714,0.924,2.463,25.998,2.37,27.696,2.043,34.147,3.495
25.3951199054718,0.718,0.919,2.463,25.998,2.366,27.787,2.033,34.342,3.49
26.00139880180359,0.718,0.919,2.458,26.087,2.361,27.878,2.028,34.44,3.49
26.608458042144775,0.714,0.919,2.458,26.087,2.356,27.969,2.019,34.635,3.485
27.215135097503662,0.714,0.924,2.458,26.087,2.356,27.969,2.014,34.733,3.49
27.82183313369751,0.709,0.934,2.454,26.177,2.346,28.151,2.004,34.929,3.49
28.428502082824707,0.714,0.929,2.454,26.177,2.346,28.151,1.994,35.126,3.49
29.03523278236389,0.709,0.934,2.449,26.267,2.341,28.242,1.989,35.225,3.48
29.64189386367798,0.709,0.934,2.449,26.267,2.331,28.425,1.984,35.323,3.47
30.24846601486206,0.709,0.929,2.449,26.267,2.331,28.425,1.975,35.521,3.48
30.855217933654785,0.704,0.938,2.444,26.357,2.322,28.608,1.97,35.62,3.48
31.46192693710327,0.709,0.934,2.444,26.357,2.317,28.699,1.965,35.72,3.475
32.068586111068726,0.709,0.934,2.439,26.447,2.312,28.791,1.955,35.919,3.475
32.67527198791504,0.709,0.934,2.439,26.447,2.312,28.791,1.95,36.019,3.48
33.28194284439087,0.709,0.934,2.434,26.537,2.307,28.883,1.945,36.118,3.48
33.888651847839355,0.709,0.934,2.429,26.627,2.297,29.066,1.935,36.319,3.47
