Temps (s),Résistance (Ohms),Température (°C)
0.9789993762969971,9611.07,25.91
1.992225170135498,9611.07,25.91
3.0058555603027344,9611.07,25.91
4.018791675567627,9611.07,25.91
5.0325047969818115,9611.07,25.91
6.045846700668335,9573.55,26.0
7.058758497238159,9648.72,25.82
8.07275104522705,9573.55,26.0
9.08599066734314,9648.72,25.82
10.09907865524292,9611.07,25.91
11.112147569656372,9573.55,26.0
12.125503301620483,9536.19,26.09
13.138654232025146,9573.55,26.0
14.146543502807617,9573.55,26.0
15.165036916732788,9536.19,26.09
16.177366018295288,9536.19,26.09
17.188138961791992,9536.19,26.09
18.20459818840027,9536.19,26.09
19.213256120681763,9461.88,26.27
20.230870008468628,9424.94,26.36
21.239269971847534,9498.96,26.18
22.25515913963318,9461.88,26.27
23.27184748649597,9424.94,26.36
24.2797110080719,9388.15,26.45
25.299082279205322,9388.15,26.45
26.30469536781311,9278.59,26.72
27.322063446044922,9278.59,26.72
28.33850336074829,9278.59,26.72
29.351258277893066,9242.35,26.81
30.36199641227722,9206.25,26.9
31.371588706970215,9170.28,26.99
32.38837718963623,9170.28,26.99
33.40467667579651,9098.76,27.17
34.41276025772095,9027.77,27.35
35.42974805831909,9027.77,27.35
36.44419527053833,8992.47,27.44
37.4545795917511,8957.31,27.53
38.470053911209106,8922.27,27.62
39.484172105789185,8887.37,27.71
40.4958016872406,8852.6,27.8
41.50443911552429,8817.96,27.89
42.52108883857727,8783.44,27.98
43.53791403770447,8714.8,28.17
44.54549765586853,8646.65,28.35
45.56268572807312,8646.65,28.35
46.57128286361694,8612.77,28.44
47.5871319770813,8545.37,28.62
48.603506565093994,8511.86,28.71
49.61416435241699,8478.47,28.81
50.62855672836304,8445.2,28.9
51.63722586631775,8412.05,28.99
52.65534329414368,8346.11,29.17
53.67008972167969,8280.65,29.36
54.68325185775757,8313.32,29.26
55.69520020484924,8248.09,29.45
56.703694581985474,8215.66,29.54
57.7206130027771,8151.13,29.73
58.736546993255615,8119.04,29.82
59.74965190887451,8055.2,30.0
60.761287212371826,8023.45,30.1
61.76961874961853,7991.81,30.19
62.78705978393555,7960.28,30.28
63.80331301689148,7897.57,30.47
64.81215262413025,7866.37,30.56
65.8287947177887,7835.29,30.65
66.83720755577087,7804.32,30.75
67.85589957237244,7742.69,30.93
68.86942911148071,7712.04,31.03
69.87823462486267,7651.06,31.22
70.89452862739563,7651.06,31.22
71.90372347831726,7590.5,31.4
72.91894364356995,7560.38,31.5
73.936190366745,7530.36,31.59
74.94475221633911,7470.64,31.78
75.96153974533081,7440.93,31.88
76.96961665153503,7411.32,31.97
77.98639559745789,7381.82,32.06
79.0022144317627,7323.11,32.25
80.01533150672913,7293.9,32.35
81.02865552902222,7264.8,32.44
82.03658652305603,7235.79,32.54
83.05283713340759,7206.88,32.64
84.06874132156372,7178.07,32.73
85.07750916481018,7149.36,32.83
86.09370374679565,7120.74,32.92
87.10270929336548,7092.22,33.02
88.11931419372559,7063.8,33.11
89.13468885421753,7007.24,33.31
90.14231657981873,7007.24,33.31
91.16059899330139,6979.1,33.4
92.16903185844421,6923.1,33.6
93.18562340736389,6923.1,33.6
94.20213031768799,6867.47,33.79
95.2104344367981,6867.47,33.79
96.22597050666809,6812.22,33.98
97.2357246875763,6784.73,34.08
98.25237131118774,6757.33,34.18
99.26842665672302,6730.02,34.27
100.28098154067993,6730.02,34.27
101.29320025444031,6675.66,34.47
102.30232524871826,6648.62,34.57
103.31889462471008,6621.67,34.66
104.33431792259216,6621.67,34.66
105.34323978424072,6568.03,34.86
106.3606116771698,6541.33,34.96
107.36852025985718,6488.21,35.16
108.38721132278442,6488.21,35.16
109.40113258361816,6435.44,35.35
110.40996813774109,6435.44,35.35
111.42638540267944,6409.18,35.45
112.43473863601685,6356.91,35.65
113.45190000534058,6330.9,35.75
114.46776628494263,6304.98,35.85
115.47607946395874,6279.13,35.95
116.4928948879242,6253.38,36.05
117.50108575820923,6227.7,36.15
118.51831865310669,6202.1,36.25
119.53384375572205,6176.59,36.35
120.54238486289978,6151.16,36.45
121.55854320526123,6151.16,36.45
122.56973457336426,6125.81,36.55
123.58455276489258,6100.54,36.65
124.60037398338318,6075.35,36.75
125.60879278182983,6050.24,36.85
126.62535643577576,6025.2,36.96
127.63432121276855,6000.25,37.06
128.6506278514862,5975.38,37.16
129.6664526462555,5950.58,37.26
130.677743434906,5950.58,37.26
131.69324731826782,5925.86,37.36
132.70081090927124,5901.22,37.46
133.71744179725647,5852.17,37.67
134.73340129852295,5852.17,37.67
135.74274969100952,5827.76,37.77
136.7591199874878,5803.42,37.87
137.7721927165985,5779.16,37.98
138.78366541862488,5754.98,38.08
139.79959297180176,5754.98,38.08
140.80853390693665,5730.87,38.18
141.8255455493927,5706.83,38.29
142.8387508392334,5682.87,38.39
143.85062408447266,5682.87,38.39
144.86597776412964,5658.98,38.49
145.87544441223145,5658.98,38.49
146.8913242816925,5635.17,38.6
147.90057039260864,5635.17,38.6
148.91661024093628,5587.76,38.81
149.93234181404114,5611.43,38.7
150.94157099723816,5587.76,38.81
151.95837211608887,5564.17,38.91
152.96404242515564,5540.64,39.01
153.98402166366577,5540.64,39.01
154.99908351898193,5517.19,39.12
156.0078570842743,5517.19,39.12
157.02448296546936,5493.81,39.22
158.03797245025635,5470.5,39.33
159.05144619941711,5447.26,39.43
160.0658242702484,5447.26,39.43
161.075129032135,5401.0,39.65
162.09029340744019,5401.0,39.65
163.0988199710846,5377.97,39.75
164.11345791816711,5355.02,39.86
165.1317789554596,5355.02,39.86
166.13959503173828,5332.13,39.96
167.15771412849426,5309.31,40.07
168.16496896743774,5309.31,40.07
169.18236565589905,5286.56,40.18
170.19829440116882,5286.56,40.18
171.20710682868958,5263.87,40.28
172.22422742843628,5241.26,40.39
173.23760795593262,5241.26,40.39
174.25044059753418,5218.71,40.5
175.26481342315674,5218.71,40.5
176.27327919006348,5173.82,40.71
177.2909870147705,5196.23,40.61
178.29899859428406,5151.48,40.82
179.31574368476868,5129.2,40.93
180.3312907218933,5129.2,40.93
181.3438274860382,5084.84,41.15
182.3572301864624,5084.84,41.15
183.36458802223206,5062.76,41.26
184.38318037986755,5062.76,41.26
185.3979856967926,5062.76,41.26
186.40641164779663,5040.74,41.37
187.42152523994446,5040.74,41.37
188.43185710906982,4996.9,41.58
189.448096036911,4996.9,41.58
190.46471309661865,4975.08,41.69
191.4743435382843,4996.9,41.58
192.4896960258484,4975.08,41.69
193.5033221244812,4975.08,41.69
194.51451063156128,4953.32,41.8
195.53058671951294,4931.63,41.91
196.5435574054718,4931.63,41.91
197.5564467906952,4910.0,42.02
198.56492400169373,4888.43,42.14
199.5809679031372,4888.43,42.14
200.5971393585205,4866.93,42.25
201.60520339012146,4845.49,42.36
202.62193822860718,4866.93,42.25
203.6311411857605,4824.11,42.47
204.64774537086487,4824.11,42.47
205.66316628456116,4802.79,42.58
206.67197561264038,4781.54,42.69
207.68214178085327,4781.54,42.69
208.6996340751648,4760.35,42.8
209.71446251869202,4781.54,42.69
210.72318267822266,4760.35,42.8
211.74268460273743,4760.35,42.8
212.75583124160767,4718.15,43.03
213.76421523094177,4718.15,43.03
