Temps (s),Température 0 (°C),Température 1 (°C),Température 2 (°C)
1.0079474449157715,24.68,24.68,24.85
1.536888837814331,24.68,24.68,24.85
2.0633864402770996,24.68,24.68,24.85
2.591811180114746,24.68,24.68,24.94
3.122201681137085,24.68,24.68,24.85
3.648939847946167,24.68,24.68,24.85
4.178138017654419,24.68,24.68,24.85
4.70707893371582,24.68,24.68,24.85
5.236005067825317,24.68,24.68,24.85
5.762741565704346,24.68,24.68,24.85
6.291259288787842,24.68,24.68,24.85
6.820620775222778,24.77,24.68,24.85
7.34868860244751,24.77,24.68,24.85
7.876505613327026,24.77,24.68,24.85
8.404508590698242,24.68,24.68,24.85
8.9328134059906,24.77,24.68,24.85
9.46165156364441,24.77,24.68,24.85
9.98958706855774,24.68,24.68,24.85
10.518992185592651,24.77,24.68,24.85
11.04724407196045,24.68,24.68,24.85
11.575007438659668,24.77,24.68,24.85
12.103327989578247,24.77,24.68,24.85
12.632697582244873,24.94,24.68,24.85
13.161833763122559,25.12,24.68,24.85
13.688599586486816,25.3,24.68,24.85
14.217285394668579,25.66,24.68,24.85
14.74565076828003,25.93,24.77,24.85
15.275682210922241,26.2,24.77,24.85
15.802293300628662,26.56,24.68,24.85
16.330666303634644,26.83,24.68,24.85
16.858909368515015,27.19,24.77,24.85
17.38897180557251,27.46,24.77,24.85
17.91631531715393,27.64,24.77,24.85
18.44625234603882,28.0,24.77,24.85
18.97417116165161,28.19,24.85,24.85
19.502933740615845,28.46,24.77,24.85
20.031237363815308,28.64,24.85,24.85
20.56000328063965,28.92,24.94,24.85
21.087039947509766,29.1,24.94,24.85
21.615217208862305,29.38,25.03,24.85
22.143694162368774,29.56,25.12,24.85
22.672206163406372,29.65,25.12,24.85
23.201221227645874,29.93,25.21,24.94
23.728895664215088,30.12,25.21,24.85
24.259165048599243,30.3,25.3,24.85
24.78624129295349,30.3,25.39,24.94
25.31380820274353,30.68,25.48,24.94
25.8421368598938,30.86,25.48,24.85
26.371811866760254,31.05,25.57,24.94
26.901224374771118,31.14,25.66,24.85
27.428852319717407,31.33,25.75,24.94
27.95666480064392,31.43,25.75,24.94
28.485283851623535,31.61,25.84,24.94
29.013954877853394,31.9,25.84,24.94
29.542187929153442,31.9,26.02,25.03
30.071027278900146,32.09,26.02,25.03
30.599515438079834,32.28,26.2,24.94
31.127674341201782,32.37,26.2,25.03
31.656036376953125,32.56,26.29,25.12
