Temps (s),Résistance (Ohms),Température (°C)
0.9800775051116943,10433.75,24.03
1.9940094947814941,10474.67,23.95
3.0064709186553955,10393.0,24.12
4.020240068435669,10433.75,24.03
5.033108234405518,10393.0,24.12
6.047228097915649,10393.0,24.12
7.0601208209991455,10433.75,24.03
8.074098587036133,10393.0,24.12
9.0870201587677,10433.75,24.03
10.099915027618408,10433.75,24.03
11.113822221755981,10352.41,24.21
12.127447366714478,10231.62,24.48
13.141345024108887,10112.26,24.75
14.153123617172241,9762.57,25.55
15.166157245635986,9498.96,26.18
16.179028272628784,9278.59,26.72
17.194174766540527,9027.77,27.35
18.206323623657227,8817.96,27.89
19.219725608825684,8646.65,28.35
20.231901168823242,8346.11,29.17
21.24546241760254,8280.65,29.36
22.258942365646362,8087.06,29.91
23.27272343635559,8023.45,30.1
24.28592538833618,7866.37,30.56
25.29895830154419,7742.69,30.93
26.311774015426636,7651.06,31.22
27.32623553276062,7470.64,31.78
28.33863067626953,7381.82,32.06
29.352492570877075,7323.11,32.25
30.36548161506653,7178.07,32.73
31.378603219985962,7120.74,32.92
32.39183473587036,7063.8,33.11
33.40552639961243,6951.05,33.5
34.41859555244446,6812.22,33.98
35.432093381881714,6812.22,33.98
36.444881200790405,6730.02,34.27
37.458184003829956,6621.67,34.66
38.47195076942444,6568.03,34.86
39.48530650138855,6541.33,34.96
40.49844527244568,6435.44,35.35
41.51202154159546,6330.9,35.75
42.524548053741455,6304.98,35.85
43.53836679458618,6304.98,35.85
44.55173349380493,6202.1,36.25
45.56493020057678,6151.16,36.45
46.57780981063843,6075.35,36.75
47.592100620269775,6075.35,36.75
48.60491228103638,6025.2,36.96
49.61810755729675,5950.58,37.26
50.63105535507202,5901.22,37.46
51.64414882659912,5827.76,37.77
52.65769386291504,5827.76,37.77
53.67129158973694,5754.98,38.08
54.6845223903656,5682.87,38.39
55.697824001312256,5635.17,38.6
56.71111440658569,5658.98,38.49
57.72433829307556,5611.43,38.7
58.73764109611511,5540.64,39.01
