Temps (s),Température 0 (°C),Température 1 (°C),Température 2 (°C)
1.0065133571624756,28.37,29.01,29.1
1.5347566604614258,28.37,28.92,29.01
2.0653393268585205,28.37,28.92,29.01
2.5937564373016357,28.28,28.92,29.01
3.121208906173706,28.37,28.92,29.01
3.649123191833496,28.37,28.92,29.01
4.177525043487549,28.28,28.83,29.01
4.705849647521973,28.37,28.83,29.01
5.235504150390625,28.28,28.83,29.01
5.763710975646973,28.28,28.83,29.01
6.293066501617432,28.37,28.83,29.01
6.820662498474121,28.46,28.83,29.01
7.348386526107788,28.37,28.73,29.01
7.87760591506958,28.28,28.83,29.01
8.406790494918823,28.09,28.73,28.92
8.93460488319397,27.91,28.73,28.92
9.462403774261475,27.73,28.64,28.92
9.9901442527771,27.55,28.73,29.01
10.518811464309692,27.19,28.64,28.92
11.047489166259766,27.01,28.64,28.92
11.576205015182495,26.83,28.64,28.92
12.104965686798096,26.56,28.55,28.92
12.633293628692627,26.38,28.64,28.83
13.161829948425293,26.11,28.55,28.83
13.690637826919556,26.02,28.46,28.83
14.218234300613403,25.75,28.46,28.83
14.745826244354248,25.66,28.46,28.83
15.275674104690552,25.48,28.37,28.83
15.802688837051392,25.21,28.37,28.83
16.331396102905273,25.12,28.37,28.83
16.861221075057983,24.85,28.28,28.73
17.38995623588562,24.77,28.28,28.73
17.917083978652954,24.68,28.19,28.73
18.447261571884155,24.59,28.09,28.73
18.97410249710083,24.41,28.09,28.73
19.50421667098999,24.14,28.0,28.73
20.03172492980957,24.05,28.0,28.73
20.558931589126587,23.97,28.0,28.73
21.087671756744385,23.88,27.91,28.73
21.616571187973022,23.7,27.82,28.64
22.145273685455322,23.52,27.82,28.64
22.674817085266113,23.43,27.73,28.64
23.201919317245483,23.17,27.64,28.64
23.731274604797363,22.2,27.64,28.64
24.258617162704468,22.11,27.55,28.55
24.786587476730347,22.11,27.46,28.55
25.315983533859253,21.93,27.46,28.55
25.843602657318115,21.84,27.46,28.55
26.372476816177368,21.76,27.28,28.46
26.901183605194092,21.67,27.28,28.46
27.428340196609497,21.58,27.28,28.46
27.95853900909424,21.49,27.19,28.37
28.48702883720398,21.4,27.1,28.37
29.014586925506592,21.32,27.1,28.37
29.543205738067627,21.23,27.01,28.37
30.071616888046265,21.23,26.92,28.28
30.600159883499146,21.05,26.92,28.19
31.12787365913391,20.97,26.83,28.19
31.65645956993103,20.88,26.83,28.19
32.18438959121704,20.88,26.65,28.19
32.713650703430176,20.79,26.65,28.09
33.243224143981934,20.7,26.56,28.09
33.77151656150818,20.61,26.47,28.09
34.29864835739136,20.44,26.38,28.0
34.8274450302124,20.44,26.38,28.0
35.35517597198486,20.35,26.29,27.91
35.884411334991455,20.35,26.2,27.91
36.414023876190186,20.17,26.2,27.91
36.941309213638306,20.17,26.11,27.82
37.46993613243103,20.09,26.11,27.82
37.99743032455444,20.09,25.93,27.82
38.52714705467224,20.0,26.02,27.82
39.055907011032104,19.91,25.93,27.73
39.58439230918884,19.82,25.84,27.64
40.112809896469116,19.82,25.75,27.64
40.64117908477783,19.65,25.75,27.55
41.16981077194214,19.65,25.66,27.55
41.696248292922974,19.65,25.66,27.55
42.226062059402466,19.56,25.57,27.46
42.754112005233765,19.47,25.57,27.46
43.28221535682678,19.38,25.48,27.37
43.810115575790405,19.38,25.39,27.37
44.33880066871643,19.3,25.3,27.37
44.86668419837952,19.21,25.3,27.37
