Temps;Consigne;Commande;T1;T2;T3;T3 estimé
0;25;0;23.61;24.83;25.09;25.13
5;25;0;23.92;24.7;25.04;25.11
10;25;0;23.61;24.83;25.21;25.18
15;25;0;22.85;24.61;25.12;25.01
20;25;0;22.24;24.35;25.01;24.87
25;25;0;21.73;24.02;24.88;24.86
30;25;0;21.28;23.73;24.72;24.75
35;25;0;20.93;23.44;24.53;24.59
40;25;0;20.58;23.15;24.35;24.36
45;25;0;20.3;22.9;24.14;24.11
50;25;0;20.01;22.62;23.94;23.86
55;25;0;19.76;22.39;23.73;23.61
60;25;0;19.51;22.14;23.51;23.37
65;25;0;19.3;21.91;23.3;23.13
70;25;0;19.08;21.71;23.1;22.91
75;25;0;18.86;21.49;22.88;22.69
80;25;0;18.67;21.29;22.71;22.49
85;25;0;18.56;21.1;22.54;22.3
90;25;0;18.38;20.91;22.33;22.1
95;25;0;18.23;20.74;22.16;21.92
100;25;0;18.11;20.58;21.99;21.75
105;25;0;17.93;20.38;21.77;21.58
110;25;0;17.75;20.22;21.59;21.42
115;25;0;17.67;20.05;21.42;21.27
120;25;0;17.62;19.9;21.27;21.11
125;25;0;17.44;19.81;21.21;20.95
130;25;0;17.3;19.67;21.08;20.81
135;25;0;17.15;19.58;20.99;20.66
140;25;0;17.01;19.44;20.82;20.55
145;25;0;17;19.33;20.72;20.44
150;25;0;16.89;19.25;20.65;20.34
155;25;0;16.78;19.16;20.53;20.23
160;25;0;16.67;19.02;20.42;20.13
165;25;0;16.56;18.91;20.29;20.05
170;25;0;16.48;18.78;20.1;19.97
175;25;0;16.5;18.68;19.99;19.86
180;25;0;16.49;18.6;19.92;19.76
185;25;0;16.39;18.51;19.91;19.66
190;25;0;16.25;18.48;19.82;19.56
195;25;0;16.11;18.39;19.74;19.47
200;25;0;16.04;18.33;19.69;19.4
205;25;0;16.03;18.23;19.57;19.34
210;25;0;15.92;18.14;19.51;19.28
215;25;0;15.92;18.09;19.46;19.22
220;25;0;15.95;18.01;19.38;19.14
225;25;0;15.87;17.93;19.29;19.07
230;25;0;15.8;17.87;19.18;19.01
