Temps,Consigne,Commande,T1,T2,T3,T3 estimé
0,25,0,23,22.96,23.02,35.53
5,25,0,22.4,23.35,23.47,29.06
10,25,0,21.27,23.13,23.46,25.99
15,25,0,20.43,22.8,23.39,24.53
20,25,0,19.79,22.47,23.31,24.02
25,25,0,19.21,22.08,23.18,23.68
30,25,0,18.7,21.73,22.99,23.36
35,25,0,18.28,21.39,22.77,23.06
40,25,0,17.9,21.05,22.53,22.74
45,25,0,17.57,20.74,22.28,22.43
50,25,0,17.22,20.43,22.03,22.12
55,25,0,16.96,20.13,21.76,21.82
60,25,0,16.74,19.85,21.51,21.53
65,25,0,16.48,19.57,21.25,21.25
70,25,0,16.29,19.33,20.98,20.98
75,25,0,16.07,19.1,20.74,20.73
80,25,0,15.88,18.88,20.53,20.48
85,25,0,15.73,18.66,20.3,20.25
90,25,0,15.51,18.49,20.12,20.03
95,25,0,15.29,18.27,19.91,19.83
100,25,0,15.07,18.07,19.7,19.63
105,25,0,14.92,17.9,19.53,19.46
110,25,0,14.74,17.74,19.38,19.28
115,25,0,14.62,17.6,19.19,19.1
120,25,0,14.5,17.46,19.08,18.94
125,25,0,14.39,17.32,18.91,18.78
130,25,0,14.28,17.18,18.78,18.65
135,25,0,14.13,17.07,18.65,18.52
140,25,0,14.05,16.93,18.51,18.4
145,25,0,14.01,16.85,18.38,18.27
150,25,0,13.96,16.72,18.3,18.16
155,25,0,13.85,16.66,18.25,18.05
160,25,0,13.78,16.58,18.15,17.96
165,25,0,13.71,16.49,18.04,17.85
170,25,0,13.63,16.41,17.95,17.78
175,25,0,13.55,16.33,17.84,17.7
180,25,0,13.48,16.22,17.76,17.63
185,25,0,13.47,16.17,17.72,17.55
190,25,0,13.33,16.05,17.59,17.48
195,25,0,13.35,16,17.5,17.39
200,25,0,13.41,15.93,17.46,17.33
205,25,0,13.31,15.87,17.44,17.25
210,25,0,13.14,15.8,17.4,17.19
215,25,0,13.03,15.69,17.23,17.12
220,25,0,13.02,15.64,17.12,17.06
225,25,0,13.04,15.59,17.13,17.01
230,25,0,12.94,15.56,17.11,16.93
235,25,0,12.9,15.53,17.08,16.87
240,25,0,12.87,15.45,16.95,16.82
245,25,0,12.79,15.39,16.87,16.77
250,25,0,12.71,15.33,16.8,16.74
255,25,0,12.64,15.27,16.74,16.69
260,25,0,12.77,15.28,16.69,16.64
265,25,0,12.73,15.25,16.78,16.59
270,25,0,12.7,15.2,16.75,16.54
275,25,0,12.74,15.18,16.68,16.52
280,25,0,12.59,15.11,16.68,16.5
285,25,0,12.52,15.06,16.57,16.46
290,25,0,12.48,15.03,16.48,16.43
295,25,0,12.61,15.01,16.43,16.39
300,25,0,12.57,14.98,16.48,16.34
305,25,0,12.51,15.03,16.53,16.31
310,25,0,12.51,15,16.44,16.28
315,25,0,12.51,14.98,16.39,16.26
320,25,0,12.54,14.93,16.4,16.27
325,25,0,12.43,14.92,16.42,16.26
330,25,0,12.37,14.89,16.35,16.25
335,25,0,12.39,14.89,16.35,16.22
340,25,0,12.33,14.86,16.29,16.2
345,25,0,12.32,14.78,16.25,16.18
350,25,0,12.28,14.78,16.21,16.17
355,25,0,12.35,14.78,16.23,16.15
360,25,0,12.32,14.75,16.23,16.1
365,25,0,12.35,14.81,16.2,16.08
370,25,0,12.35,14.76,16.21,16.07
375,25,0,12.45,14.77,16.25,16.05
380,25,0,12.52,14.82,16.27,16.07
