Temps;Consigne;Commande;T1;T2;T3;T3 estimé
0;25;0;23.78;23.8;23.9;35.93
5;25;0;23.69;23.82;23.92;29.63
10;25;0;24.6;24.11;24.11;26.65
15;25;0;25.43;24.28;24.15;25.23
20;25;0;26.05;24.51;24.18;24.57
25;25;0;26.54;24.78;24.26;24.38
30;25;0;26.92;25.05;24.35;24.38
35;25;0;27.24;25.31;24.49;24.48
40;25;0;27.63;25.55;24.66;24.65
45;25;0;27.92;25.79;24.81;24.86
50;25;0;28.15;26.01;25.01;25.08
55;25;0;28.37;26.24;25.19;25.29
60;25;0;28.56;26.47;25.38;25.5
65;25;0;28.79;26.67;25.58;25.7
70;25;0;28.98;26.9;25.75;25.9
75;25;0;29.13;27.07;25.94;26.1
80;25;0;29.33;27.24;26.12;26.29
85;25;0;29.52;27.42;26.31;26.48
90;25;0;29.71;27.62;26.49;26.66
95;25;0;29.83;27.79;26.66;26.82
100;25;0;29.99;27.96;26.82;26.97
105;25;0;30.18;28.08;26.95;27.14
110;25;0;30.36;28.26;27.11;27.3
115;25;0;30.48;28.4;27.25;27.45
120;25;0;30.57;28.54;27.38;27.58
125;25;0;30.72;28.66;27.52;27.72
130;25;0;30.88;28.78;27.64;27.85
135;25;0;30.96;28.92;27.77;27.98
140;25;0;31.11;29.04;27.89;28.1
145;25;0;31.23;29.18;28.03;28.21
150;25;0;31.31;29.33;28.17;28.32
155;25;0;31.4;29.44;28.27;28.43
160;25;0;31.48;29.55;28.38;28.55
165;25;0;31.63;29.65;28.46;28.67
170;25;0;31.75;29.71;28.58;28.78
175;25;0;31.86;29.86;28.7;28.89
180;25;0;31.87;29.97;28.83;28.98
185;25;0;31.99;30.06;28.89;29.06
190;25;0;32.11;30.12;28.97;29.16
195;25;0;32.22;30.21;29.07;29.26
200;25;0;32.27;30.27;29.15;29.34
205;25;0;32.35;30.33;29.21;29.42
210;25;0;32.42;30.45;29.31;29.49
215;25;0;32.51;30.51;29.37;29.55
220;25;0;32.58;30.6;29.43;29.61
225;25;0;32.63;30.65;29.49;29.69
230;25;0;32.67;30.71;29.57;29.76
235;25;0;32.71;30.74;29.61;29.83
240;25;0;32.79;30.83;29.65;29.89
245;25;0;32.83;30.89;29.78;29.95
250;25;0;32.73;30.96;29.86;29.99
255;25;0;32.84;31.03;29.87;30.05
260;25;0;32.92;31.06;29.94;30.1
265;25;0;33.03;31.12;29.98;30.16
270;25;0;33.11;31.19;30.04;30.22
275;25;0;33.19;31.27;30.12;30.26
280;25;0;33.31;31.28;30.13;30.31
285;25;0;33.31;31.34;30.19;30.36
290;25;0;33.24;31.39;30.28;30.43
295;25;0;33.25;31.42;30.36;30.47
300;25;0;33.29;31.48;30.36;30.51
