Temps,Consigne,Commande,T1,T2,T3,T3 estimé
0,25,0,23.69,23.82,23.92,24.03
5,25,0,23.62,23.74,23.86,24.01
10,25,0,24.87,24.2,24.28,24
15,25,0,26.17,24.44,24.23,23.98
20,25,0,27.13,24.75,24.24,23.94
25,25,0,27.85,25.13,24.32,24.13
30,25,0,28.52,25.52,24.46,24.33
35,25,0,29.1,25.93,24.63,24.57
40,25,0,29.57,26.31,24.86,24.85
45,25,0,29.91,26.66,25.12,25.17
50,25,0,30.36,27.01,25.36,25.51
55,25,0,30.77,27.33,25.61,25.85
60,25,0,31.11,27.65,25.89,26.16
65,25,0,31.46,27.97,26.16,26.48
70,25,0,31.7,28.26,26.43,26.77
75,25,0,31.98,28.55,26.71,27.06
80,25,0,32.18,28.83,26.98,27.35
85,25,0,32.35,29.12,27.25,27.61
90,25,0,32.56,29.35,27.5,27.87
95,25,0,32.91,29.62,27.76,28.12
100,25,0,33.19,29.86,27.98,28.37
105,25,0,33.46,30.1,28.23,28.6
110,25,0,33.63,30.27,28.41,28.83
115,25,0,33.72,30.5,28.64,29.05
120,25,0,33.96,30.71,28.88,29.27
125,25,0,34.17,30.92,29.06,29.45
130,25,0,34.41,31.13,29.29,29.64
135,25,0,34.62,31.31,29.47,29.82
140,25,0,34.86,31.49,29.67,30.01
145,25,0,34.95,31.67,29.86,30.19
150,25,0,35.04,31.84,30.04,30.36
155,25,0,35.13,32.01,30.2,30.53
160,25,0,35.18,32.16,30.34,30.69
165,25,0,35.31,32.3,30.49,30.84
170,25,0,35.47,32.43,30.66,31
175,25,0,35.49,32.51,30.82,31.13
180,25,0,35.65,32.67,30.96,31.27
185,25,0,35.86,32.82,31.08,31.39
190,25,0,36.02,32.98,31.17,31.49
195,25,0,36.14,33.1,31.29,31.6
200,25,0,36.27,33.25,31.47,31.73
205,25,0,36.32,33.37,31.59,31.86
210,25,0,36.41,33.49,31.75,31.98
215,25,0,36.46,33.57,31.87,32.1
220,25,0,36.67,33.7,31.94,32.22
225,25,0,36.83,33.75,31.94,32.33
230,25,0,36.94,33.84,31.97,32.42
235,25,0,36.98,33.9,32.04,32.52
240,25,0,37.15,34.03,32.21,32.59
245,25,0,37.28,34.15,32.35,32.66
250,25,0,37.21,34.23,32.41,32.73
255,25,0,37.26,34.29,32.47,32.82
260,25,0,37.42,34.36,32.5,32.92
265,25,0,37.5,34.43,32.58,33
270,25,0,37.47,34.54,32.68,33.07
275,25,0,37.59,34.63,32.8,33.13
280,25,0,37.8,34.74,32.88,33.19
285,25,0,37.93,34.8,32.95,33.27
290,25,0,37.89,34.86,33.08,33.35
295,25,0,37.82,34.85,33.18,33.44
300,25,0,37.71,34.9,33.24,33.51
305,25,0,37.84,35.03,33.25,33.57
310,25,0,38.07,35.1,33.31,33.6
315,25,0,38.2,35.17,33.43,33.63
320,25,0,38.13,35.2,33.51,33.7
325,25,0,38.1,35.22,33.46,33.77
330,25,0,38.01,35.27,33.57,33.84
335,25,0,38.06,35.33,33.66,33.88
340,25,0,38.11,35.42,33.72,33.91
345,25,0,38.23,35.46,33.74,33.95
350,25,0,38.39,35.51,33.71,34
355,25,0,38.59,35.55,33.81,34.06
360,25,0,38.6,35.61,33.89,34.11
365,25,0,38.61,35.7,33.92,34.15
370,25,0,38.65,35.73,33.96,34.19
375,25,0,38.73,35.74,34.03,34.24
380,25,0,38.7,35.76,34.11,34.3
385,25,0,38.87,35.86,34.16,34.35
390,25,0,38.95,35.93,34.2,34.37
395,25,0,38.83,35.98,34.27,34.39
400,25,0,38.92,36.01,34.33,34.45
405,25,0,38.8,36,34.34,34.51
410,25,0,38.76,36,34.32,34.56
415,25,0,38.76,36.03,34.27,34.6
420,25,0,38.76,36.03,34.31,34.61
425,25,0,39,36.08,34.31,34.62
430,25,0,39.16,36.12,34.33,34.63
435,25,0,39.25,36.19,34.36,34.64
440,25,0,39.29,36.22,34.42,34.67
445,25,0,39.29,36.25,34.54,34.7
450,25,0,39.26,36.28,34.58,34.75
455,25,0,39.15,36.3,34.64,34.78
460,25,0,39.11,36.35,34.66,34.81
465,25,0,39.07,36.29,34.72,34.84
470,25,0,38.95,36.28,34.68,34.86
475,25,0,38.83,36.15,34.68,34.9
480,25,0,39.15,36.3,34.72,34.89
485,25,0,39.32,36.37,34.74,34.88
490,25,0,39.48,36.44,34.75,34.81
495,25,0,39.52,36.42,34.69,34.85
500,25,0,39.48,36.47,34.71,34.9
505,25,0,39.52,36.53,34.75,34.96
510,25,0,39.57,36.57,34.84,34.97
515,25,0,39.61,36.6,34.88,35
520,25,0,39.66,36.6,34.82,35.05
525,25,0,39.61,36.63,34.9,35.08
530,25,0,39.54,36.62,34.86,35.12
535,25,0,39.41,36.61,34.94,35.13
540,25,0,39.34,36.58,34.95,35.15
545,25,0,39.46,36.62,34.98,35.16
550,25,0,39.46,36.62,34.99,35.16
555,25,0,39.46,36.62,35.01,35.14
560,25,0,39.3,36.63,35.03,35.15
565,25,0,39.26,36.66,35.02,35.16
570,25,0,39.26,36.63,34.94,35.16
575,25,0,39.22,36.57,34.95,35.17
580,25,0,39.42,36.64,34.88,35.18
585,25,0,39.29,36.66,34.88,35.18
590,25,0,39.25,36.63,34.94,35.15
595,25,0,39.34,36.66,34.92,35.17
600,25,0,39.58,36.71,35.02,35.18
605,25,0,39.71,36.78,35.03,35.18
610,25,0,39.67,36.75,34.97,35.19
615,25,0,39.54,36.68,35.04,35.22
620,25,0,39.43,36.58,34.93,35.27
625,25,0,39.5,36.59,34.88,35.27
630,25,0,39.49,36.59,34.78,35.24
635,25,0,39.57,36.57,34.72,35.19
640,25,0,39.52,36.59,34.84,35.16
645,25,0,39.33,36.55,34.87,35.15
650,25,0,39.33,36.58,34.82,35.13
655,25,0,39.37,36.52,34.75,35.14
660,25,0,39.32,36.55,34.83,35.12
665,25,0,39.29,36.48,34.71,35.12
670,25,0,39.36,36.49,34.69,35.1
675,25,0,39.28,36.54,34.74,35.1
680,25,0,39.36,36.58,34.72,35.07
685,25,0,39.28,36.6,34.78,35.06
690,25,0,39.32,36.6,34.72,35.08
695,25,0,39.28,36.57,34.72,35.1
700,25,0,39.28,36.57,34.84,35.13
705,25,0,39.13,36.53,34.83,35.14
710,25,0,39.17,36.59,34.82,35.13
715,25,0,39.33,36.63,34.92,35.13
720,25,0,39.29,36.6,34.99,35.1
725,25,0,39.38,36.67,35.02,35.12
730,25,0,39.47,36.68,35,35.15
735,25,0,39.46,36.7,34.92,35.15
740,25,0,39.58,36.68,34.96,35.18
745,25,0,39.46,36.7,34.94,35.2
750,25,0,39.62,36.75,35.04,35.22
755,25,0,39.59,36.77,35.1,35.22
760,25,0,39.55,36.8,35.05,35.23
765,25,0,39.75,36.85,35.07,35.25
770,25,0,39.84,36.85,35.09,35.28
775,25,0,39.92,36.86,35.11,35.3
780,25,0,39.88,36.86,35.09,35.33
785,25,0,39.96,36.89,35.13,35.35
790,25,0,39.97,36.92,35.18,35.36
795,25,0,39.76,36.94,35.1,35.37
800,25,0,39.8,36.94,35.22,35.39
805,25,0,39.73,36.93,35.1,35.41
810,25,0,39.68,36.93,35.18,35.43
815,25,0,39.85,36.97,35.28,35.44
820,25,0,39.98,37.01,35.2,35.44
825,25,0,39.97,36.92,35.1,35.44
830,25,0,40,36.99,35.08,35.46
835,25,0,40.04,36.99,35.2,35.48
840,25,0,40.05,37.05,35.3,35.46
845,25,0,40.02,37.05,35.3,35.47
850,25,0,40.1,37.08,35.31,35.48
855,25,0,40.06,37.08,35.31,35.51
860,25,0,40.06,37.11,35.31,35.52
865,25,0,39.94,37.1,35.31,35.55
870,25,0,39.77,37.11,35.31,35.56
875,25,0,39.73,37.08,35.31,35.58
880,25,0,39.73,37.05,35.3,35.58
885,25,0,39.98,37.1,35.31,35.59
890,25,0,40.1,37.14,35.31,35.58
895,25,0,40.1,37.14,35.31,35.56
900,25,0,40.14,37.09,35.23,35.57
905,25,0,40.14,37.06,35.25,35.6
910,25,0,39.93,37.04,35.3,35.61
915,25,0,39.77,37.09,35.31,35.59
920,25,0,39.86,37.12,35.31,35.57
925,25,0,39.82,37.09,35.27,35.55
930,25,0,39.85,37.03,35.2,35.56
935,25,0,39.68,36.99,35.22,35.58
940,25,0,39.73,37.02,35.24,35.58
