Temps (s),Echelon (V),DeltaV (V),Tension_0 (V),Temp_0 (°C),Tension_1 (V),Temp_1 (°C),Tension_2 (V),Temp_2 (°C),Courant (V)
1.695939064025879,0.0,0.0,2.542,24.568,2.527,24.82,2.532,24.899,0.0
2.302751064300537,0.0,0.0,2.542,24.568,2.527,24.82,2.532,24.899,0.02
2.9092931747436523,0.0,0.0,2.542,24.568,2.522,24.909,2.532,24.899,0.01
3.5158169269561768,0.0,0.0,2.542,24.568,2.522,24.909,2.532,24.899,0.01
4.122431039810181,0.0,0.0,2.542,24.568,2.527,24.82,2.532,24.899,0.0
4.729300022125244,0.0,0.0,2.542,24.568,2.522,24.909,2.532,24.899,0.005
5.3359880447387695,0.0,0.0,2.546,24.48,2.522,24.909,2.532,24.899,0.01
5.942616939544678,0.357,0.406,2.522,24.925,2.502,25.266,2.507,25.345,1.706
6.549562931060791,0.347,0.42,2.522,24.925,2.502,25.266,2.507,25.345,1.706
7.156212091445923,0.352,0.415,2.522,24.925,2.502,25.266,2.507,25.345,1.716
7.762565851211548,0.342,0.43,2.522,24.925,2.502,25.266,2.498,25.524,1.696
8.369572877883911,0.357,0.415,2.522,24.925,2.502,25.266,2.493,25.613,1.701
8.975899934768677,0.357,0.42,2.522,24.925,2.502,25.266,2.483,25.793,1.691
9.582637071609497,0.376,0.406,2.522,24.925,2.502,25.266,2.473,25.972,1.701
10.18935513496399,0.357,0.43,2.522,24.925,2.502,25.266,2.463,26.151,1.696
10.796100854873657,0.357,0.43,2.517,25.014,2.502,25.266,2.458,26.241,1.691
11.402862787246704,0.362,0.43,2.522,24.925,2.502,25.266,2.449,26.421,1.696
12.00951600074768,0.362,0.43,2.522,24.925,2.502,25.266,2.444,26.511,1.686
12.616123914718628,0.362,0.43,2.522,24.925,2.502,25.266,2.434,26.691,1.696
13.22288203239441,0.357,0.43,2.522,24.925,2.502,25.266,2.429,26.781,1.686
13.829583883285522,0.362,0.43,2.522,24.925,2.498,25.355,2.419,26.961,1.691
14.436305046081543,0.367,0.42,2.522,24.925,2.498,25.355,2.414,27.052,1.686
15.04303503036499,0.362,0.425,2.522,24.925,2.498,25.355,2.41,27.142,1.686
15.64968991279602,0.357,0.435,2.522,24.925,2.498,25.355,2.405,27.233,1.681
16.25631594657898,0.362,0.43,2.527,24.836,2.493,25.445,2.395,27.414,1.681
16.863005876541138,0.352,0.44,2.522,24.925,2.493,25.445,2.39,27.504,1.681
17.46972894668579,0.362,0.43,2.522,24.925,2.493,25.445,2.385,27.595,1.686
18.07639193534851,0.362,0.43,2.522,24.925,2.493,25.445,2.385,27.595,1.681
18.68314290046692,0.362,0.425,2.522,24.925,2.488,25.534,2.375,27.776,1.691
19.289723873138428,0.357,0.435,2.527,24.836,2.488,25.534,2.37,27.867,1.686
19.896549940109253,0.362,0.435,2.522,24.925,2.488,25.534,2.366,27.958,1.686
20.50326704978943,0.357,0.435,2.522,24.925,2.483,25.624,2.366,27.958,1.681
21.10988712310791,0.357,0.435,2.522,24.925,2.483,25.624,2.361,28.049,1.672
21.716607093811035,0.357,0.435,2.522,24.925,2.478,25.713,2.356,28.14,1.681
22.32318902015686,0.357,0.44,2.522,24.925,2.478,25.713,2.351,28.231,1.672
22.93001389503479,0.352,0.445,2.522,24.925,2.478,25.713,2.346,28.323,1.672
23.536718130111694,0.357,0.435,2.522,24.925,2.478,25.713,2.341,28.414,1.667
24.143383026123047,0.357,0.425,2.522,24.925,2.473,25.803,2.341,28.414,1.686
