Temps;Consigne;Commande;T1;T2;T3;T3 estim�
0;25;0;24.38;24.45;24.46;30.1
5;25;0;24.38;24.45;24.46;27.18
10;25;0;24.34;24.42;24.44;25.79
15;25;0;24.34;24.4;24.42;25.12
20;25;0;24.3;24.37;24.4;24.81
25;25;0;24.27;24.34;24.38;24.64
30;25;0;24.27;24.34;24.38;24.55
35;25;0;24.33;24.42;24.37;24.5
40;25;0;24.5;24.59;24.37;24.46
45;25;0;24.71;24.71;24.39;24.44
50;25;0;24.84;24.85;24.46;24.47
55;25;0;25.05;24.97;24.54;24.56
60;25;0;25.16;25.06;24.6;24.66
65;25;0;25.24;25.15;24.64;24.77
70;25;0;25.34;25.26;24.74;24.88
75;25;0;25.45;25.37;24.82;24.97
80;25;0;25.56;25.46;24.91;25.05
85;25;0;25.67;25.57;25.03;25.14
90;25;0;25.75;25.63;25.1;25.24
95;25;0;25.86;25.75;25.16;25.33
100;25;0;25.86;25.8;25.26;25.42
105;25;0;25.97;25.89;25.32;25.49
110;25;0;26.05;25.95;25.41;25.58
115;25;0;26.12;26.06;25.47;25.64
120;25;0;26.2;26.12;25.57;25.71
125;25;0;26.2;26.14;25.59;25.77
130;25;0;26.27;26.23;25.65;25.85
135;25;0;26.35;26.29;25.72;25.92
140;25;0;26.42;26.37;25.8;25.96
145;25;0;26.5;26.4;25.87;26.02
150;25;0;26.54;26.49;25.91;26.07
155;25;0;26.61;26.54;25.97;26.14
160;25;0;26.61;26.6;26.03;26.19
165;25;0;26.69;26.66;26.11;26.25
170;25;0;26.76;26.71;26.15;26.3
175;25;0;26.8;26.74;26.17;26.35
180;25;0;26.8;26.77;26.2;26.4
185;25;0;26.87;26.83;26.26;26.45
190;25;0;26.88;26.88;26.32;26.49
195;25;0;26.92;26.89;26.34;26.52
200;25;0;26.95;26.94;26.36;26.56
205;25;0;26.96;26.97;26.38;26.61
210;25;0;26.99;27.02;26.44;26.63
215;25;0;27.03;27.05;26.46;26.67
220;25;0;27.07;27.06;26.48;26.7
