Temps (s),Echelon (V),Tension_0 (V),Temp_0 (°C),Tension_1 (V),Temp_1 (°C),Tension_2 (V),Temp_2 (°C)
1.349592685699463,0.0,0.0,nan,0.0,nan,0.0,nan
1.6143107414245605,0.0,0.0,nan,0.0,nan,0.0,nan
1.8801283836364746,0.0,0.0,nan,0.0,nan,0.0,nan
2.1462416648864746,0.0,0.0,nan,0.0,nan,0.0,nan
2.4098262786865234,0.0,0.0,nan,0.0,nan,0.0,nan
2.676635980606079,0.0,0.0,nan,0.0,nan,0.0,nan
2.9407858848571777,0.0,0.0,nan,0.0,nan,0.0,nan
3.2067644596099854,0.0,0.0,nan,0.0,nan,0.0,nan
3.471127510070801,0.0,0.0,nan,0.0,nan,0.0,nan
3.7365622520446777,0.0,0.0,nan,0.0,nan,0.0,nan
4.00155234336853,0.0,0.0,nan,0.0,nan,0.0,nan
4.267368793487549,0.0,0.0,nan,0.0,nan,0.0,nan
4.532808065414429,0.0,0.0,nan,0.0,nan,0.0,nan
4.796971559524536,0.0,0.0,nan,0.0,nan,0.0,nan
5.063196420669556,0.0,0.0,nan,0.0,nan,0.0,nan
5.328197717666626,0.0,0.0,nan,0.0,nan,0.0,nan
5.591604948043823,0.0,0.0,nan,0.0,nan,0.0,nan
5.857637166976929,0.0,0.0,nan,0.0,nan,0.0,nan
6.122548580169678,0.0,0.0,nan,0.0,nan,0.0,nan
6.388274908065796,0.0,0.0,nan,0.0,nan,0.0,nan
6.65407395362854,0.0,0.0,nan,0.0,nan,0.0,nan
6.918064117431641,0.0,0.0,nan,0.0,nan,0.0,nan
7.1826090812683105,0.0,0.0,nan,0.0,nan,0.0,nan
7.4480555057525635,0.0,0.0,nan,0.0,nan,0.0,nan
7.712665319442749,0.0,0.0,nan,0.0,nan,0.0,nan
7.989233493804932,0.464,2.605,23.415,2.6,23.488,2.605,23.567
8.2545485496521,0.455,2.586,23.769,2.581,23.843,2.586,23.921
